syslog10k.log,,,,,,,,,,
quick_ana.csv_exec_load_0,quick_ana.csv_exec_load_1,quick_ana.csv_exec_load_2,quick_ana.csv_exec_load_3,quick_ana.csv_exec_load_4,quick_ana.csv_exec_load_5,quick_ana.csv_exec_load_6,quick_ana.csv_exec_load_7,quick_ana.csv_exec_load_8,quick_ana.csv_exec_load_9,
0.412375,0.42212,0.419445,0.414119,0.451242,0.438156,0.401577,0.46149,0.407255,0.400268,0.4228047
quick_ana.csv_warm_parse_0,quick_ana.csv_warm_parse_1,quick_ana.csv_warm_parse_2,quick_ana.csv_warm_parse_3,quick_ana.csv_warm_parse_4,,,,,,
,,,,,,,,,,
37.167256,67.503087,66.686525,65.800315,68.460399,61.1235164,,,,,
,,,,,,,,,,
quick_ana.csv_exec_parse_0,quick_ana.csv_exec_parse_1,quick_ana.csv_exec_parse_2,quick_ana.csv_exec_parse_3,quick_ana.csv_exec_parse_4,quick_ana.csv_exec_parse_5,quick_ana.csv_exec_parse_6,quick_ana.csv_exec_parse_7,quick_ana.csv_exec_parse_8,quick_ana.csv_exec_parse_9,
66.725596,66.563981,66.199744,66.737061,66.944624,66.783873,66.428186,66.568766,67.862945,66.317066,66.7131842
,,,,,,,,,,
quick_ana.csv_warm_sort_0,quick_ana.csv_warm_sort_1,quick_ana.csv_warm_sort_2,quick_ana.csv_warm_sort_3,quick_ana.csv_warm_sort_4,,,,,,
7.372306,7.953644,7.346408,8.402705,7.19344,7.6537006,,,,,
,,,,,,,,,,
quick_ana.csv_exec_sort_0,quick_ana.csv_exec_sort_1,quick_ana.csv_exec_sort_2,quick_ana.csv_exec_sort_3,quick_ana.csv_exec_sort_4,quick_ana.csv_exec_sort_5,quick_ana.csv_exec_sort_6,quick_ana.csv_exec_sort_7,quick_ana.csv_exec_sort_8,quick_ana.csv_exec_sort_9,
7.412702,7.164694,7.190099,7.630608,7.522136,7.143313,7.638325,8.135962,7.794282,8.500324,7.6132445
,,,,,,,,,,
syslog200k.log.gz,,,,,,,,,,
syslog20k.log,,,,,,,,,,
quick_ana.csv_warm_load_0,quick_ana.csv_warm_load_1,quick_ana.csv_warm_load_2,quick_ana.csv_warm_load_3,quick_ana.csv_warm_load_4,,,,,,
0.042195,0.043939,0.049094,0.045176,0.040414,0.0441636,,,,,
,,,,,,,,,,
quick_ana.csv_exec_load_0,quick_ana.csv_exec_load_1,quick_ana.csv_exec_load_2,quick_ana.csv_exec_load_3,quick_ana.csv_exec_load_4,quick_ana.csv_exec_load_5,quick_ana.csv_exec_load_6,quick_ana.csv_exec_load_7,quick_ana.csv_exec_load_8,quick_ana.csv_exec_load_9,
0.039947,0.037145,0.039945,0.037358,0.042451,0.036972,0.03991,0.038505,0.039944,0.039492,0.0391669
quick_ana.csv_warm_parse_0,quick_ana.csv_warm_parse_1,quick_ana.csv_warm_parse_2,quick_ana.csv_warm_parse_3,quick_ana.csv_warm_parse_4,,,,,,
,,,,,,,,,,
